,Code,Name,PER,PBR,ROE,배당수익률,배당성향,Average Daily Return,Average Daily Volatility,Sharpe Ratio
0,067630,HLB생명과학,0.0,0.019977241117714,0.0,0.0,0.0,0.002188610108735132,0.04578751310203939,0.0477992788963603
1,260970,에스앤디,0.059706434168414084,0.013149576431913012,0.9999999999999999,0.9999999999999999,0.3261491512492848,0.001860597704100834,0.04280126343911717,0.04347062573859411
2,009810,플레이그램,0.0,0.02187381464154761,0.0,0.0,0.0,0.0011885916301897252,0.04667482573973488,0.025465368351185118
3,196170,알테오젠,0.0,1.0,0.0,0.0,0.0,0.0025017563091732117,0.04255451098288414,0.05878945031654679
4,101360,에코앤드림,0.0,0.06423062334049817,0.0,0.0,0.0,0.005035056687779715,0.058710831158950164,0.0857602692448367
5,270660,에브리봇,0.9999999999999999,0.03236818814009357,0.09355131698455948,0.0,0.0,0.002325936503462594,0.060096312861123255,0.038703481007854965
6,210120,빅텐츠,0.0,0.009356429384245794,,0.0,0.0,0.002535693464133417,0.0725034828692735,0.03497340215649181
7,139670,키네마스터,0.10925946363536033,0.02174737640662536,0.7229791099000907,0.0,0.0,0.0026325338930250847,0.04602074934329843,0.05720319487601815
8,221800,유투바이오,,0.0,,0.19791666666666663,1.0,0.002419285083003064,0.054133980089657224,0.04469069296209553
9,148780,비큐AI,0.23705992716035756,0.030092299911493234,0.38374205267938233,0.0,0.0,0.0016981154093809166,0.06690042045204816,0.025382731497152027
