,Code,Name,PER,PBR,ROE,배당수익률,배당성향,Average Daily Return,Average Daily Volatility,Sharpe Ratio
0,000270,기아,0.045768566493955096,0.28620689655172415,0.7546961325966851,0.7151979565772669,0.03698553126017102,0.0007146562344851034,0.020411305521969726,0.035012764554226215
1,009150,삼성전기,0.17884283246977548,0.4379310344827586,0.2567219152854512,0.09578544061302682,0.030431695120868716,0.0005186877252574784,0.023648953118746367,0.021932798574763046
2,030000,제일기획,0.08445595854922279,0.42758620689655175,0.5521178637200738,0.7445721583652618,0.08879486344941859,0.0002792051087411546,0.01921092287190475,0.014533664551299695
3,280360,롯데웰푸드,0.11701208981001728,0.20344827586206898,0.2114180478821363,0.3090676883780332,0.055626239015297216,2.2486943812072822e-05,0.01698411637434464,0.0013239984534044102
4,005300,롯데칠성,0.07556131260794473,0.25517241379310346,0.3602209944751381,0.2962962962962963,0.030490871970884986,0.00044584430508179206,0.019674684303757763,0.022660811131624516
5,023590,다우기술,0.029965457685664942,0.044827586206896544,0.3329650092081031,0.4993614303959132,0.01977986211793946,0.00027940112129533606,0.021821320961051348,0.01280404251392646
6,268280,미원에스씨,0.16709844559585493,0.593103448275862,0.369060773480663,0.19540229885057472,0.08244814628517323,0.0009142739314262287,0.012843397826681188,0.07118629694136654
7,213500,한솔제지,0.13497409326424872,0.06896551724137931,0.0861878453038674,0.6002554278416348,1.0,0.00013962702672290215,0.018085578531214872,0.00772035168694838
8,015890,태경산업,0.0886873920552677,0.12413793103448278,0.194475138121547,0.5261813537675607,0.0717371364322277,0.00041857636032144226,0.019425834682896603,0.021547406695990062
9,003610,방림,1.0,0.12068965517241381,0.01657458563535912,0.227330779054917,0.0,0.0010264100376735992,0.020597315959553903,0.04983222278519775
10,000700,유수홀딩스,0.10578583765112262,0.08620689655172414,0.1259668508287293,0.7713920817369093,0.12422700239666241,0.00022079472944157557,0.018862868414349258,0.011705257365503001
11,001080,만호제강,0.0,0.21034482758620693,0.0,0.0,0.0,0.000745010711227408,0.022763848774302205,0.03272780093621252
12,014530,극동유화,0.07936096718480137,0.16896551724137934,0.2685082872928177,0.5887611749680716,0.06747640323105601,0.00046431437482046076,0.0224274010457922,0.02070299513851048
13,023450,동남합성,0.1303972366148532,0.6758620689655173,0.5351749539594843,0.37547892720306514,0.08666449684883273,0.0008947334227870828,0.013323042885001916,0.06715683725632278
14,002200,한국수출포장,0.050863557858376506,0.05172413793103449,0.20478821362799263,0.3448275862068966,0.023552386306476904,0.0006991931279647111,0.018264992892802662,0.038280503697333976
15,001560,제일연마,0.04810017271157168,0.1482758620689655,0.4088397790055249,0.4406130268199234,0.028005444270201494,0.0005467073459038875,0.018753997899997005,0.02915150939117759
16,000760,이화산업,0.0,0.044827586206896544,0.0,0.0,0.0,0.00011992678262012653,0.01968035887046026,0.006093729459381643
17,001070,대한방직,0.0,0.0,0.0,0.0,0.0,0.001181565020518591,0.014531810656458964,0.08130886428756351
18,023600,삼보판지,0.026511226252158893,0.031034482758620696,0.32412523020257833,0.42017879948914433,0.013551498653726662,0.0006947193091559954,0.02097266901364184,0.03312498322002363
19,049720,고려신용정보,0.10466321243523316,1.0,1.0,0.5095785440613028,0.06647039678077936,0.0012244724227240393,0.017523257633205582,0.06987698568123163
20,039340,한국경제TV,0.10552677029360968,0.18620689655172415,0.21436464088397794,0.34610472541507026,0.04692724206290499,0.0006383963971857313,0.022285203690559426,0.02864664851397217
21,261200,덴티스,0.21088082901554406,0.7379310344827587,0.3830570902394107,0.0,0.0,8.972925910176176e-05,0.01697042631961263,0.00528738980458388
22,108380,대양전기공업,0.08134715025906736,0.1310344827586207,0.22062615101289137,0.0,0.0,0.0003084671700103129,0.023500762934562273,0.013125836419406374
23,092460,한라IMS,0.09844559585492228,0.18275862068965518,0.22946593001841625,0.5772669220945083,0.01011924135278279,0.0005474106515444742,0.0227577809891833,0.024053779751402684
24,019010,베뉴지,0.12858376511226252,0.031034482758620696,0.06408839779005525,0.1839080459770115,0.012974524366067993,0.0007175453042185672,0.020088279609077782,0.03571959959648872
25,189690,포시에스,0.12962003454231433,0.2689655172413793,0.24088397790055252,0.24521072796934865,0.042592537799212946,0.0006358556243886438,0.022683290166462262,0.02803189571364608
26,008470,부스타,0.3117443868739206,0.08620689655172414,0.0423572744014733,0.16219667943805877,0.049531023463621024,0.00016032027418682652,0.01845506936292848,0.008687058879814833
27,005490,POSCO홀딩스,0.17582037996545768,0.11379310344827587,0.09060773480662984,0.2554278416347382,0.06610054146817765,6.599712194654872e-05,0.020021836564947007,0.0032962571506598153
28,010130,고려아연,0.1662348877374784,0.3241379310344828,0.21915285451197056,0.384418901660281,0.08491877977335266,0.0003072900599090095,0.018793357387921233,0.016350993256080436
29,086790,하나금융지주,0.04335060449050086,0.08620689655172414,0.3233885819521179,1.0,0.04237062461165192,9.234312634850747e-05,0.019794994502808843,0.004664973578820863
30,003550,LG,0.10561312607944733,0.10344827586206895,0.1410681399631676,0.4610472541507024,0.05673580495310235,0.00013250244385531025,0.018759912937603533,0.0070630628348873695
31,006040,동원산업,0.047236614853195164,0.1,0.31602209944751386,0.421455938697318,0.026052608219664465,-5.4956465717052346e-05,0.018433889582389888,-0.002981273456772406
32,016590,신대양제지,0.038860103626943004,0.05172413793103449,0.27661141804788214,0.34099616858237547,0.015445157854247417,0.0010459368717381646,0.02242588524483053,0.04663971389844097
33,095570,AJ네트웍스,0.0810880829015544,0.10344827586206895,0.19042357274401475,0.6922094508301405,0.10866349084238246,0.0001444899013574016,0.021806307064337577,0.006626060108715196
